"","values"
"1",0
"2",14.45
"3",13.89
"4",13.89
"5",13
"6",50.46
"7",13.89
"8",13.89
"9",13.89
"10",12.6
"11",12.39
"12",0
"13",12.51
"14",13.89
"15",13.89
"16",12.47
"17",11.95
"18",11.88
"19",11.57
"20",10.77
"21",10.86
"22",-3.93
"23",-4.05
"24",-4.28
"25",0
"26",13.89
"27",10.68
"28",11.12
"29",10.95
"30",13.9
"31",13.9
"32",50.46
"33",50.46
"34",50.46
"35",50.46
"36",50.46
"37",49.42
"38",50.47
"39",50.47
"40",13.89
"41",13.89
"42",12.5
"43",12.39
"44",12.22
"45",11.92
"46",11.67
"47",1.2
"48",13.89
"49",11.41
"50",11.47
"51",-2.68
"52",-3.06
"53",-3.44
"54",-3.56
"55",-4.02
"56",-5.33
"57",-6.26
"58",-6.61
"59",-105.9
"60",-106.18
"61",-105.73
"62",-187.65
"63",-189.17
"64",-188.49
"65",-187.63
"66",-180
"67",-180
"68",50.47
"69",50.47
"70",9.68
"71",9.9
"72",13.9
"73",13.9
"74",11.07
"75",13.43
"76",13.89
"77",52.02
"78",6.25
"79",6.22
"80",58.57
"81",5.92
"82",2.8
"83",3.96
"84",4.36
"85",60.96
"86",60.99
"87",61.31
"88",2.34
"89",2.6
"90",61.28
"91",2.41
"92",2.41
"93",2.34
"94",61.08
"95",61.3
"96",2.45
"97",2.82
