"","values"
"1",0
"2",7.38
"3",-10.33
"4",-15.26
"5",-16.23
"6",-105.54
"7",-119.68
"8",-130.52
"9",-129.66
"10",-110
"11",-124.79
"12",-121.22
"13",-231.28
"14",-229.54
"15",-228.23
"16",-229.9
"17",-231.37
"18",-232.27
"19",-231.4
"20",-230.93
"21",-230.16
"22",-229.97
"23",-119.38
"24",5.09
"25",12.51
"26",7.21
"27",-55.18
"28",0
"29",12.52
"30",7.74
"31",7.79
"32",12.52
"33",12.52
"34",9.64
"35",9.87
"36",9.46
"37",9.1
"38",9.83
"39",9.82
"40",9.69
"41",12.52
"42",9.61
"43",-2.94
"44",-3.55
"45",-4.41
"46",-4.58
"47",12.51
"48",12.51
"49",48.64
"50",48.64
"51",8.07
"52",12.51
"53",9.92
"54",9.53
"55",9.26
"56",12.51
"57",12.51
"58",8.07
"59",-5.88
"60",6.32
"61",-6.62
"62",-5.71
"63",6.89
"64",-6.99
"65",-8.03
"66",-6.63
"67",-5.53
"68",0
"69",-4.72
"70",7.72
"71",7.67
"72",12.52
"73",12.52
"74",12.52
"75",12.52
"76",0
"77",12.51
"78",12.52
"79",12.51
"80",12.51
"81",12.51
"82",12.52
"83",12.52
"84",12.51
"85",11.95
"86",11.82
"87",12.51
"88",12.51
"89",12.52
"90",12.51
"91",48.64
"92",48.64
"93",11.75
"94",48.64
"95",12.52
"96",12.52
"97",48.64
