"","values"
"1",0
"2",77.9
"3",77.9
"4",148.8
"5",148.8
"6",75.02
"7",75.02
"8",75.02
"9",75.02
"10",74.64
"11",74.64
"12",74.64
"13",74.64
"14",71.97
"15",71.97
"16",71.97
"17",71.97
"18",71.79
"19",71.79
"20",71.79
"21",71.79
"22",74
"23",74
"24",178.29
"25",178.31
"26",226.25
"27",226.28
"28",310
"29",310
"30",310
"31",310
"32",310
"33",310
"34",125.96
"35",125.96
"36",125.96
"37",125.96
"38",125.96
"39",2.92
"40",2.17
"41",2.92
"42",18.88
"43",19.67
"44",18.57
"45",18.32
"46",19.67
"47",18.16
"48",17.96
"49",16.93
"50",16.48
"51",15.94
"52",15.87
"53",19.67
"54",19.67
"55",16.18
"56",16.34
"57",17.24
"58",17.4
"59",19.67
"60",82.17
"61",19.67
"62",17.71
"63",19.67
"64",82.17
"65",19.67
"66",18.55
"67",19.67
"68",82.17
"69",19.67
"70",18.61
"71",13.06
"72",82.17
"73",6.2
"74",2.92
"75",82.17
"76",2.92
"77",1.41
"78",82.17
"79",2.92
"80",2.92
"81",1.79
"82",17.47
"83",82.17
"84",19.67
"85",19.67
"86",19.67
"87",82.17
"88",18.56
"89",18.65
"90",19.67
"91",19.67
"92",81.34
"93",19.67
"94",81.52
"95",19.67
"96",19.67
"97",19.67
